Responden;Aplikasi;KP1;KP2;KP3;KP4;KP5;KP6;KP7;KP8;KP9;KP10
R112;Apple Music;4;4;4;4;4;2;3;4;3;3
R113;Spotify;4;4;4;4;4;4;4;4;4;4
R114;Spotify;4;4;4;4;4;4;4;4;4;4
R115;Spotify;4;4;4;4;4;4;4;4;4;4
R116;Spotify;4;4;4;4;4;4;4;4;4;4
R117;Apple Music;4;4;4;4;4;2;3;4;3;3
R118;Spotify;4;4;4;4;4;1;1;4;2;4
R119;Spotify;4;4;4;4;4;3;3;4;4;4
R120;Apple Music;4;4;4;4;3;3;4;4;4;4
R121;Apple Music;4;4;4;4;4;2;2;4;3;3
R122;Spotify;4;4;4;4;4;4;4;4;4;4
R123;Spotify;4;4;4;4;4;4;4;4;4;4
R124;Spotify;4;4;4;4;4;3;3;4;3;3
R125;Spotify;4;4;4;4;4;3;2;4;3;3
R126;Spotify;4;4;4;4;4;3;3;4;3;4
R127;Spotify;4;4;4;4;4;4;4;4;4;4
R128;Apple Music;4;4;4;4;4;3;3;3;3;4
R129;Apple Music;3;4;3;3;3;3;3;4;4;4
R130;Spotify;4;4;4;4;4;4;4;4;4;4
R131;Apple Music;4;4;4;4;4;2;2;3;3;3
R132;Apple Music;4;4;4;4;4;4;4;4;4;4
R133;Spotify;4;4;4;4;4;4;4;4;4;4
R134;Apple Music;4;4;4;4;4;3;3;4;3;3
R135;Spotify;4;4;4;4;4;4;4;4;4;4
R136;Spotify;4;4;4;4;4;4;4;4;4;4
R137;Spotify;4;4;3;4;4;3;2;4;4;4
R138;Apple Music;4;4;4;4;4;3;4;4;4;4
R139;Spotify;4;4;3;3;4;1;3;4;4;3
R140;Apple Music;3;3;3;3;4;3;3;3;3;4
R141;Spotify;4;4;3;3;4;2;1;4;3;4
R142;Spotify;4;4;3;3;3;2;3;4;3;4
R143;Spotify;4;4;4;4;4;3;3;4;4;4
R144;Apple Music;4;4;3;3;2;2;2;4;3;3
R145;Spotify;3;3;2;3;1;1;1;3;2;2
R146;Spotify;4;4;2;3;2;2;1;3;3;3
R147;Spotify;4;4;3;3;3;1;2;4;3;3
R148;Spotify;4;4;3;4;4;3;3;3;3;3
R149;Spotify;4;4;4;4;4;3;2;4;4;4
R150;Apple Music;4;4;4;4;4;3;3;4;4;4
R151;Spotify;3;3;3;3;3;3;3;3;3;3
R152;Apple Music;4;4;4;3;3;2;2;3;3;4
R153;Apple Music;4;4;2;4;1;2;2;4;2;2
R154;Apple Music;4;4;2;3;2;2;3;4;2;2
R155;Apple Music;4;4;4;4;2;2;2;3;2;2
R156;Spotify;4;4;4;3;3;3;1;4;3;3
R157;Apple Music;3;3;2;3;2;2;2;3;2;2
R158;Apple Music;4;4;3;4;3;3;3;4;4;4
R159;Spotify;4;4;4;4;4;4;4;4;4;4
R160;Spotify;4;4;4;4;4;4;4;4;4;4
R161;Spotify;4;4;4;4;4;4;4;4;4;4
R162;Spotify;4;4;4;4;4;4;4;4;4;4
R163;Spotify;4;4;4;4;3;3;3;3;3;3
R164;Spotify;4;4;4;4;4;4;4;4;4;4
R165;Spotify;4;4;4;4;4;4;4;4;4;4
R166;Spotify;4;4;4;4;4;4;4;4;4;4
R167;Apple Music;4;4;4;4;4;4;4;4;4;4
R168;Apple Music;4;4;4;4;4;4;4;4;4;4
R169;Spotify;4;4;4;4;4;4;4;4;4;4
R170;Spotify;4;4;4;4;4;4;4;4;4;4
R171;Apple Music;3;4;3;3;3;2;2;3;2;2
R172;Spotify;4;4;4;4;4;4;4;4;4;4
R173;Apple Music;4;4;3;3;2;3;3;4;4;4
R174;Apple Music;4;3;3;3;3;3;3;4;3;2
R175;Spotify;4;4;4;4;4;4;4;4;4;4
R176;Spotify;4;4;4;4;4;4;4;4;4;4
R177;Spotify;4;4;4;4;4;4;4;4;4;4
R178;Apple Music;3;3;3;3;2;2;3;3;3;3
R179;Spotify;4;4;4;4;4;4;4;4;4;4
R180;Spotify;4;4;4;4;4;4;4;4;4;4
R181;Apple Music;4;4;4;3;3;2;3;3;3;3
R182;Spotify;4;4;4;4;4;4;4;4;4;4
R183;Spotify;4;4;4;4;4;4;4;4;4;4
R184;Spotify;4;4;4;4;4;4;4;4;4;4
R185;Apple Music;4;4;4;4;4;4;4;4;4;4
R186;Spotify;4;4;4;3;3;2;2;4;4;4
R187;Apple Music;4;3;3;3;3;2;3;3;3;2
R188;Spotify;4;4;4;4;4;4;4;4;4;4
R189;Apple Music;4;4;3;3;3;3;3;4;3;3
R190;Spotify;4;4;4;4;4;4;4;4;4;4
R191;Spotify;4;4;4;4;4;4;4;4;4;4
R192;Spotify;4;4;4;4;4;4;4;4;4;4
R193;Spotify;4;4;4;4;4;4;4;4;4;4
R194;Spotify;4;4;4;4;4;4;4;4;4;4
R195;Spotify;4;4;4;4;4;4;4;4;4;4
R196;Apple Music;3;3;3;3;3;3;3;4;3;4
R197;Spotify;4;4;4;4;4;4;4;4;4;4
R198;Apple Music;3;3;3;3;3;3;2;2;3;3
R199;Apple Music;4;4;4;4;4;4;4;4;4;4
R200;Apple Music;4;4;4;4;4;4;4;4;4;4
R201;Spotify;4;4;3;4;4;4;4;4;4;3
R202;Spotify;4;4;4;1;4;4;4;4;4;3
R203;Spotify;4;3;1;3;4;4;2;3;3;3
R204;Spotify;4;3;3;3;3;2;2;2;2;3
R205;Spotify;4;4;3;3;4;3;3;4;4;4
R206;Spotify;4;4;4;4;4;4;4;4;4;4
R207;Spotify;4;4;4;4;4;4;4;4;4;4
R208;Spotify;4;3;4;4;4;2;3;4;4;4
R209;Spotify;4;4;4;4;4;4;4;4;4;4
R210;Spotify;4;3;3;3;3;3;3;3;3;3
R211;Spotify;4;3;3;3;4;4;4;3;3;3
R212;Spotify;4;4;4;3;4;3;4;4;4;4
R213;Spotify;4;3;3;4;4;3;4;4;4;4
R214;Apple Music;4;4;4;4;4;4;4;4;4;4
R215;Spotify;4;4;2;3;3;2;2;4;3;3
R216;Apple Music;4;4;4;4;4;4;4;4;4;4
R217;Apple Music;4;4;4;4;4;3;3;4;4;4
R218;Spotify;4;4;3;4;2;1;1;3;2;2
R219;Spotify;4;4;4;4;4;3;4;4;4;4
R220;Apple Music;4;4;4;4;4;3;4;3;4;4
R221;Spotify;4;4;4;4;4;3;2;4;3;4
R222;Apple Music;4;4;4;4;4;3;3;4;4;4
R223;Spotify;4;4;4;4;4;3;3;4;4;3
R224;Apple Music;4;4;4;4;4;4;4;4;4;4
R225;Apple Music;4;4;4;4;4;4;4;4;4;4
R226;Spotify;4;4;4;3;3;1;1;3;3;3
R227;Apple Music;3;3;3;3;2;4;4;4;3;4
R228;Apple Music;4;4;4;4;4;3;2;3;3;2
R229;Spotify;3;3;2;3;1;1;1;3;2;2
R230;Spotify;4;4;4;4;4;4;4;4;4;4
R231;Apple Music;4;4;4;4;4;4;4;4;4;4
R232;Spotify;4;4;4;4;4;4;4;4;4;4
R233;Apple Music;4;4;4;4;4;4;4;4;4;4
R234;Spotify;4;3;3;3;1;2;2;3;3;3
R235;Spotify;4;4;4;4;4;4;4;4;4;4
R236;Apple Music;4;4;2;3;2;2;2;3;2;2
R237;Spotify;4;4;4;4;4;4;4;4;4;4
R238;Spotify;4;4;4;4;4;3;4;4;4;4
R239;Spotify;4;4;4;4;4;3;3;4;3;3
R240;Apple Music;4;4;3;3;4;3;3;4;4;3
